drug, smile
Dipyridamole, C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
Depen, CC(C)([C@H](C(=O)O)N)S
3-Hydroxydesloratadine, C1CC2=C(C(=C3CCNCC3)C4=C1C=C(C=C4)Cl)N=CC(=C2)O
Formoterol, CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
Galangin, C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Zinc insulin, CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2C=NC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2C=NC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN.[Zn]
Progesterone, CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Acebutolol, CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
Risperidone, CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Doxycycline, C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Bezalip, CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
Estazolam, C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
Flucytosine, C1=NC(=O)NC(=C1F)N
Silver, [Ag]
Ketoprofen, CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
Amrinone, C1=CN=CC=C1C2=CNC(=O)C(=C2)N
N-desmethylclozapine, C1CN(CCN1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
Dicyclomine, CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
Esmolol HCl, CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl
Furoxone, C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
Piperacillin, CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Iron, [Fe]
Oxacillin, CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Argatroban, C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
Debrisoquin, C1CN(CC2=CC=CC=C21)C(=N)N
Pertechnetate, [O-][Tc](=O)(=O)=O
Cataflam, C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[K+]
Bupropion, CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
Dantrolene sodium, C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+]
Thiazide, C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Praziquantel, C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
AKINETON, C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
Theo-Dur, CN1C2=C(C(=O)N(C1=O)C)NC=N2
Cefotaxime sodium, CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+]
Prednisolone sodium succinate, C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CCC(=O)[O-])O)CCC4=CC(=O)C=C[C@]34C)O.[Na+]
Panretin, CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C
Tannic acid, C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
Phenelzine sulfate, C1=CC=C(C=C1)CCNN.OS(=O)(=O)O
Ocupress, CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O.Cl
4-hydroxy-estazolam, C1=CC=C(C=C1)C2=NC(C3=NN=CN3C4=C2C=C(C=C4)Cl)O
Phenelzine, C1=CC=C(C=C1)CCNN
Imitrex, CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C.C(CC(=O)O)C(=O)O
Nifedipine, CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
Diuril, C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Fenofibric acid, CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
Ketamine, CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Nuprin, CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Gemzar, C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl
4-hydroxytamoxifen, CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
Penicillin G, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
Calcitriol, C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
Phenergan, CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
Sildenafil citrate, CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Vitamin B3, C1=CC(=CN=C1)C(=O)O
Hydrocortisone, C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
Kytril, CN1[C@@H]2CCC[C@H]1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C.Cl
Dextropropoxyphene, CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C
Nydrazid, C1=CN=CC=C1C(=O)NN
Relafen, CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
8-phenyltheophylline, CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=CC=C3
Irinotecan, CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
Formoterol fumarate, C[C@@H](CC1=CC=C(C=C1)OC)NC[C@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@@H](CC1=CC=C(C=C1)OC)NC[C@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\C(=O)O
Deferasirox, C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
Acamprosate, CC(=O)NCCCS(=O)(=O)O
Cytadren, CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
Naloxone, C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
Purinethol, C1=NC2=C(N1)C(=S)N=CN2
Famotidine, C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N
Nafcillin, CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Metrizamide, CC(=O)NC1=C(C(=C(C(=C1I)C(=O)N[C@@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)I)N(C)C(=O)C)I
Phenibut, C1=CC=C(C=C1)C(CC(=O)O)CN
Brinzolamide, CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
Atropine, CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
Phenazepam, C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=C3Cl
Calan SR, CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl
CAMPTOSAR, CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.O.O.O.Cl
Desloratadine, C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
Fexofenadine hydrochloride, CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl
Clonidine, C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
Enoxacin, CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
Angiotensin 2, CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N
Diazoxide, CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
Phenacemide, C1=CC=C(C=C1)CC(=O)NC(=O)N
Dacarbazine, CN(C)/N=N/C1=C(NC=N1)C(=O)N
Neoral, CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Hydroxybupropion, CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO
Anafranil, CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl
Chloral hydrate, C(C(Cl)(Cl)Cl)(O)O
Flutamide, CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
NUROMAX, C[N+]1(CCC2=CC(=C(C(=C2[C@H]1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)OC)CCCOC(=O)CCC(=O)OCCC[N+]4(CCC5=CC(=C(C(=C5[C@@H]4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)OC)C.[Cl-].[Cl-]
Ranitidine, CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
Trazodone hydrochloride, C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl
Oruvail, CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
Coumarin, C1=CC=C2C(=C1)C=CC(=O)O2
Misonidazole, COCC(CN1C=CN=C1[N+](=O)[O-])O
Atenolol, CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Magnesium salicylate, C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2]
Apomorphine, CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
Cephalothin, CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O
Nicardipine, CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
Potassium chloride, [Cl-].[K+]
Simvastatin, CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
Gantrisin, CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
Ganciclovir, C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
CANCIDAS, CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O.CC(=O)O.CC(=O)O
Cefditoren, CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O
Warfarin sodium, CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+]
ACE inhibitor, CCC(C)C(C(=O)N1CCCC1C(=O)N2CCCC2C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C3CCCN3C(=O)C(CCCN=C(N)N)NC(=O)C4CCCN4C(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C7CCC(=O)N7
Fosphenytoin, C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3
Tolbutamide, CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
NIZORAL, CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
Pentazocine, C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O
Colistin, CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)[C@@H](C)O
Halofantrine, CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O
Acetazolamide, CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Indocin, CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
Nitrate, [N+](=O)([O-])[O-]
Fulvestrant, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
CRIXIVAN, CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
Furafylline, CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C
INDOCIN, CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
Clindamycin, CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
Acarbose, C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
Dobutamine, CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
Resorcinol, C1=CC(=CC(=C1)O)O
Diphenhydramine hydrochloride, CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
Methoxyflurane, COC(C(Cl)Cl)(F)F
Thiocyanate, C(#N)[S-]
Anaprox, C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
Clofibric acid, CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
TML, C[Pb](C)(C)C
Tolazamide, CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
STADOL NS, C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
N-diethyl-m-toluamide, CCC(CC)C1=CC(=CC=C1)C(=O)N
Tazobactam, C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3
Naproxen sodium, C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
Vinblastine, CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
Mesoridazine, CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
Imipramine hydrochloride, CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
Acetaldehyde, CC=O
MAXIPIME, C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-]
Ibogaine, CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC
Duloxetine, CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
Nitrite, N(=O)[O-]
Hydroxyitraconazole, CC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
ASA, CC(=O)OC1=CC=CC=C1C(=O)O
ADL-8-2698, C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O.O.O
Enflurane, C(C(OC(F)F)(F)F)(F)Cl
BEXTRA, CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
Felbatol, C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
Fentanyl, CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Caspofungin, CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O
DIFFERIN, COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
Tacrolimus, C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
Lopressor, CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.C(=C\C(=O)O)\C(=O)O
Protriptyline, CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
Almotriptan, CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
Procarbazine, CC(C)NC(=O)C1=CC=C(C=C1)CNNC
18-Methoxycoronaridine, COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC
Fosinopril, CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3
Trileptal, C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
Cinchophen, C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O
Magnesium hydroxide, [OH-].[OH-].[Mg+2]
Nitrogen mustard, CN(CCCl)CCCl
Isocarboxazid, CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
Penthrane, COC(C(Cl)Cl)(F)F
PROSCAR, C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C
CGS 21680, CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O
Bretylium Tosylate, CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-]
Bromocriptine mesylate, CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O
Cyclopentolate, CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
Oxazepam, C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
Isoniazide, C1=CN=CC=C1C(=O)NN
Aminocaproic acid, C(CCC(=O)O)CCN
Tetracycline, C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
TENORMIN, CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Sodium bicarbonate, C(=O)(O)[O-].[Na+]
Sodium fluorescein, C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)[O-])C(=O)[O-].[Na+].[Na+]
Glutamic acid HCl, C(CC(=O)O)[C@@H](C(=O)O)N.Cl
Iodine, II
Plicamycin, C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Lidocaine, CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
Phenylpropanolamine, C[C@H]([C@H](C1=CC=CC=C1)O)N
Alendronate, C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
Orudis, CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
Cephalosporins, CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)SC1)C(=O)O
Diphenylhydantoin, C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
Gallamine, CCN(CC)CCOC1=C(C(=CC=C1)OCCN(CC)CC)OCCN(CC)CC
Tylenol, CC(=O)NC1=CC=C(C=C1)O
Dirithromycin, CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O
LODOSYN, C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
FORTOVASE, CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
Quinolone Antibiotic, CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
Pravastatin, CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
Mitoxantrone, C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
Azathioprine, CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
Sulfacetamide, CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
Naprosyn, C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
PLENDIL, CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
Olprinone, CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2
Aminoglutethimide, CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
Terbutaline, CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
PERSANTINE, C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
